stride,offset,query_index,sequence_id,sample_id,appearances
1,0,303,seq0001,seq0001_g000303,8
1,0,304,seq0001,seq0001_g000304,8
1,0,305,seq0001,seq0001_g000305,8
1,0,306,seq0001,seq0001_g000306,8
1,0,307,seq0001,seq0001_g000307,8
1,0,308,seq0001,seq0001_g000308,8
1,0,309,seq0001,seq0001_g000309,8
1,0,310,seq0001,seq0001_g000310,8
1,0,311,seq0001,seq0001_g000311,8
1,0,312,seq0001,seq0001_g000312,8
1,0,313,seq0001,seq0001_g000313,8
1,0,314,seq0001,seq0001_g000314,8
1,0,315,seq0001,seq0001_g000315,8
1,0,316,seq0001,seq0001_g000316,8
1,0,317,seq0001,seq0001_g000317,8
1,0,318,seq0001,seq0001_g000318,8
1,0,319,seq0001,seq0001_g000319,8
1,0,320,seq0001,seq0001_g000320,8
1,0,321,seq0001,seq0001_g000321,8
1,0,322,seq0001,seq0001_g000322,8
1,0,323,seq0001,seq0001_g000323,8
1,0,324,seq0001,seq0001_g000324,8
1,0,325,seq0001,seq0001_g000325,8
1,0,326,seq0001,seq0001_g000326,8
1,0,327,seq0001,seq0001_g000327,8
1,0,328,seq0001,seq0001_g000328,8
1,0,329,seq0001,seq0001_g000329,8
1,0,330,seq0001,seq0001_g000330,8
1,0,331,seq0001,seq0001_g000331,8
1,0,332,seq0001,seq0001_g000332,8
1,0,333,seq0001,seq0001_g000333,8
1,0,334,seq0001,seq0001_g000334,8
1,0,335,seq0001,seq0001_g000335,8
1,0,336,seq0001,seq0001_g000336,8
1,0,337,seq0001,seq0001_g000337,8
1,0,338,seq0001,seq0001_g000338,8
1,0,339,seq0001,seq0001_g000339,8
1,0,340,seq0001,seq0001_g000340,8
1,0,341,seq0001,seq0001_g000341,8
1,0,342,seq0001,seq0001_g000342,8
1,0,343,seq0001,seq0001_g000343,8
1,0,344,seq0001,seq0001_g000344,8
1,0,345,seq0001,seq0001_g000345,8
1,0,346,seq0001,seq0001_g000346,8
1,0,347,seq0001,seq0001_g000347,8
1,0,348,seq0001,seq0001_g000348,8
1,0,349,seq0001,seq0001_g000349,8
1,0,350,seq0001,seq0001_g000350,8
1,0,351,seq0001,seq0001_g000351,8
1,0,352,seq0001,seq0001_g000352,8
1,0,353,seq0001,seq0001_g000353,8
1,0,354,seq0001,seq0001_g000354,8
1,0,355,seq0001,seq0001_g000355,8
1,0,356,seq0001,seq0001_g000356,8
1,0,357,seq0001,seq0001_g000357,8
1,0,358,seq0001,seq0001_g000358,8
1,0,359,seq0001,seq0001_g000359,8
1,0,360,seq0001,seq0001_g000360,8
1,0,361,seq0001,seq0001_g000361,8
1,0,362,seq0001,seq0001_g000362,8
1,0,363,seq0001,seq0001_g000363,8
1,0,364,seq0001,seq0001_g000364,8
1,0,365,seq0001,seq0001_g000365,8
1,0,366,seq0001,seq0001_g000366,8
1,0,367,seq0001,seq0001_g000367,8
1,0,368,seq0001,seq0001_g000368,8
1,0,369,seq0001,seq0001_g000369,8
1,0,370,seq0001,seq0001_g000370,8
1,0,371,seq0001,seq0001_g000371,8
1,0,372,seq0001,seq0001_g000372,8
1,0,373,seq0001,seq0001_g000373,8
1,0,374,seq0001,seq0001_g000374,8
1,0,375,seq0001,seq0001_g000375,8
1,0,376,seq0001,seq0001_g000376,8
1,0,377,seq0001,seq0001_g000377,8
1,0,378,seq0001,seq0001_g000378,8
1,0,379,seq0001,seq0001_g000379,8
1,0,380,seq0001,seq0001_g000380,8
1,0,381,seq0001,seq0001_g000381,8
1,0,382,seq0001,seq0001_g000382,8
1,0,383,seq0001,seq0001_g000383,8
1,0,384,seq0001,seq0001_g000384,8
1,0,385,seq0001,seq0001_g000385,8
1,0,386,seq0001,seq0001_g000386,8
1,0,387,seq0001,seq0001_g000387,8
1,0,388,seq0001,seq0001_g000388,8
1,0,389,seq0001,seq0001_g000389,8
1,0,390,seq0001,seq0001_g000390,8
1,0,391,seq0001,seq0001_g000391,8
1,0,392,seq0001,seq0001_g000392,8
1,0,393,seq0001,seq0001_g000393,7
1,0,394,seq0001,seq0001_g000394,6
1,0,395,seq0001,seq0001_g000395,5
1,0,396,seq0001,seq0001_g000396,4
1,0,397,seq0001,seq0001_g000397,3
1,0,398,seq0001,seq0001_g000398,2
1,0,399,seq0001,seq0001_g000399,1
1,0,400,seq0002,seq0002_g000000,8
1,0,401,seq0002,seq0002_g000001,8
1,0,402,seq0002,seq0002_g000002,8
1,0,403,seq0002,seq0002_g000003,8
1,0,404,seq0002,seq0002_g000004,8
1,0,405,seq0002,seq0002_g000005,8
1,0,406,seq0002,seq0002_g000006,8
1,0,407,seq0002,seq0002_g000007,8
1,0,408,seq0002,seq0002_g000008,8
1,0,409,seq0002,seq0002_g000009,8
1,0,410,seq0002,seq0002_g000010,8
1,0,411,seq0002,seq0002_g000011,8
1,0,412,seq0002,seq0002_g000012,8
1,0,413,seq0002,seq0002_g000013,8
1,0,414,seq0002,seq0002_g000014,8
1,0,415,seq0002,seq0002_g000015,8
1,0,416,seq0002,seq0002_g000016,8
1,0,417,seq0002,seq0002_g000017,8
1,0,418,seq0002,seq0002_g000018,8
1,0,419,seq0002,seq0002_g000019,8
1,0,420,seq0002,seq0002_g000020,8
1,0,421,seq0002,seq0002_g000021,8
1,0,422,seq0002,seq0002_g000022,8
1,0,423,seq0002,seq0002_g000023,8
1,0,424,seq0002,seq0002_g000024,8
1,0,425,seq0002,seq0002_g000025,8
1,0,426,seq0002,seq0002_g000026,8
1,0,427,seq0002,seq0002_g000027,8
1,0,428,seq0002,seq0002_g000028,8
1,0,429,seq0002,seq0002_g000029,8
1,0,430,seq0002,seq0002_g000030,8
1,0,431,seq0002,seq0002_g000031,8
1,0,432,seq0002,seq0002_g000032,8
1,0,433,seq0002,seq0002_g000033,8
1,0,434,seq0002,seq0002_g000034,8
1,0,435,seq0002,seq0002_g000035,8
1,0,436,seq0002,seq0002_g000036,8
1,0,437,seq0002,seq0002_g000037,8
1,0,438,seq0002,seq0002_g000038,8
1,0,439,seq0002,seq0002_g000039,8
1,0,440,seq0002,seq0002_g000040,8
1,0,441,seq0002,seq0002_g000041,8
1,0,442,seq0002,seq0002_g000042,8
1,0,443,seq0002,seq0002_g000043,8
1,0,444,seq0002,seq0002_g000044,8
1,0,445,seq0002,seq0002_g000045,8
1,0,446,seq0002,seq0002_g000046,8
1,0,447,seq0002,seq0002_g000047,8
1,0,448,seq0002,seq0002_g000048,8
1,0,449,seq0002,seq0002_g000049,8
1,0,450,seq0002,seq0002_g000050,8
1,0,451,seq0002,seq0002_g000051,8
1,0,452,seq0002,seq0002_g000052,8
1,0,453,seq0002,seq0002_g000053,8
1,0,454,seq0002,seq0002_g000054,8
1,0,455,seq0002,seq0002_g000055,8
1,0,456,seq0002,seq0002_g000056,8
1,0,457,seq0002,seq0002_g000057,8
1,0,458,seq0002,seq0002_g000058,8
1,0,459,seq0002,seq0002_g000059,8
1,0,460,seq0002,seq0002_g000060,8
1,0,461,seq0002,seq0002_g000061,8
1,0,462,seq0002,seq0002_g000062,8
1,0,463,seq0002,seq0002_g000063,8
1,0,464,seq0002,seq0002_g000064,8
1,0,465,seq0002,seq0002_g000065,8
1,0,466,seq0002,seq0002_g000066,8
1,0,467,seq0002,seq0002_g000067,8
1,0,468,seq0002,seq0002_g000068,8
1,0,469,seq0002,seq0002_g000069,8
1,0,470,seq0002,seq0002_g000070,8
1,0,471,seq0002,seq0002_g000071,8
1,0,472,seq0002,seq0002_g000072,8
1,0,473,seq0002,seq0002_g000073,8
1,0,474,seq0002,seq0002_g000074,8
1,0,475,seq0002,seq0002_g000075,8
1,0,476,seq0002,seq0002_g000076,8
1,0,477,seq0002,seq0002_g000077,8
1,0,478,seq0002,seq0002_g000078,8
1,0,479,seq0002,seq0002_g000079,8
1,0,480,seq0002,seq0002_g000080,8
1,0,481,seq0002,seq0002_g000081,8
1,0,482,seq0002,seq0002_g000082,8
1,0,483,seq0002,seq0002_g000083,8
1,0,484,seq0002,seq0002_g000084,8
1,0,485,seq0002,seq0002_g000085,8
1,0,486,seq0002,seq0002_g000086,8
1,0,487,seq0002,seq0002_g000087,8
1,0,488,seq0002,seq0002_g000088,8
1,0,489,seq0002,seq0002_g000089,8
1,0,490,seq0002,seq0002_g000090,8
1,0,491,seq0002,seq0002_g000091,8
1,0,492,seq0002,seq0002_g000092,8
1,0,493,seq0002,seq0002_g000093,8
1,0,494,seq0002,seq0002_g000094,8
1,0,495,seq0002,seq0002_g000095,8
1,0,496,seq0002,seq0002_g000096,8
1,0,497,seq0002,seq0002_g000097,8
1,0,498,seq0002,seq0002_g000098,8
1,0,499,seq0002,seq0002_g000099,8
1,0,500,seq0002,seq0002_g000100,8
1,0,501,seq0002,seq0002_g000101,8
1,0,502,seq0002,seq0002_g000102,8
1,0,503,seq0002,seq0002_g000103,8
1,0,504,seq0002,seq0002_g000104,8
1,0,505,seq0002,seq0002_g000105,8
1,0,506,seq0002,seq0002_g000106,8
1,0,507,seq0002,seq0002_g000107,8
1,0,508,seq0002,seq0002_g000108,8
1,0,509,seq0002,seq0002_g000109,8
1,0,510,seq0002,seq0002_g000110,8
1,0,511,seq0002,seq0002_g000111,8
1,0,512,seq0002,seq0002_g000112,8
1,0,513,seq0002,seq0002_g000113,8
1,0,514,seq0002,seq0002_g000114,8
1,0,515,seq0002,seq0002_g000115,8
1,0,516,seq0002,seq0002_g000116,8
1,0,517,seq0002,seq0002_g000117,8
1,0,518,seq0002,seq0002_g000118,8
1,0,519,seq0002,seq0002_g000119,8
1,0,520,seq0002,seq0002_g000120,8
1,0,521,seq0002,seq0002_g000121,8
1,0,522,seq0002,seq0002_g000122,8
1,0,523,seq0002,seq0002_g000123,8
1,0,524,seq0002,seq0002_g000124,8
1,0,525,seq0002,seq0002_g000125,8
1,0,526,seq0002,seq0002_g000126,8
1,0,527,seq0002,seq0002_g000127,8
1,0,528,seq0002,seq0002_g000128,8
1,0,529,seq0002,seq0002_g000129,8
