step,elapsed_seconds,method,center_error_px_mean,center_error_px_median,center_error_lt_2px,center_error_lt_4px,center_error_lt_8px,best_fixed_head_index,attention_entropy_normalized_mean,gt_mass_1cell_mean,gt_mass_2cell_mean,box_head_grad_norm
150,49.54547320900019,fused_token,14.8331937789917,15.028610229492188,0.0,0.0,0.10000000149011612,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
150,49.54547320900019,mean_attention,222.53060913085938,221.462890625,0.0,0.0,0.0,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
150,49.54547320900019,peak_attention,362.3592224121094,359.65362548828125,0.0,0.0,0.0,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
150,49.54547320900019,best_fixed_head,126.78731536865234,127.35079956054688,0.0,0.0,0.0,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
150,49.54547320900019,oracle_best_head,126.78731536865234,127.35079956054688,0.0,0.0,0.0,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
150,49.54547320900019,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,2,0.9908000826835632,0.0009628800908103585,0.0038022890221327543,1.043966293334961
200,66.05757579300553,fused_token,16.716171264648438,11.80008316040039,0.0,0.0,0.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
200,66.05757579300553,mean_attention,209.17626953125,207.94940185546875,0.0,0.0,0.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
200,66.05757579300553,peak_attention,370.5697937011719,363.04443359375,0.0,0.0,0.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
200,66.05757579300553,best_fixed_head,136.60226440429688,136.66485595703125,0.0,0.0,0.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
200,66.05757579300553,oracle_best_head,136.5836181640625,136.66485595703125,0.0,0.0,0.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
200,66.05757579300553,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,0,0.9940361976623535,0.001036795903928578,0.004100787919014692,1.0206106901168823
250,82.85281919699628,fused_token,7.997092247009277,1.297097086906433,0.6000000238418579,0.699999988079071,0.75,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
250,82.85281919699628,mean_attention,209.72970581054688,208.44375610351562,0.0,0.0,0.0,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
250,82.85281919699628,peak_attention,362.3592224121094,359.65362548828125,0.0,0.0,0.0,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
250,82.85281919699628,best_fixed_head,89.469482421875,88.9871597290039,0.0,0.0,0.0,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
250,82.85281919699628,oracle_best_head,89.469482421875,88.9871597290039,0.0,0.0,0.0,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
250,82.85281919699628,grid_oracle,2.864502429962158,2.8721394538879395,0.20000000298023224,0.8500000238418579,1.0,0,0.9920384287834167,0.0010298816487193108,0.004085115157067776,0.9930996298789978
