variant,out_index,step,elapsed_seconds,center_error_px_mean,center_error_px_median,center_error_lt_2px,center_error_lt_4px,mean_iou,median_iou,recall_iou_0.5,position_error_mean_m,bbox_l1,position_loss,box_head_grad_norm,peak_gpu_memory_mb,visual_token_count,fusion,parameter_count_total,parameter_count_trainable
minimal_fpn,2,100,45.79711699404288,16.534316873550416,13.822395324707031,0.0,0.0,0.11609799284487962,0.1301904246211052,0.0,0.7154825925827026,0.01453902111388743,0.003862827841658145,4.444483757019043,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,150,68.66682344803121,12.253622287511826,12.130448818206787,0.05,0.05,0.23866744469851256,0.21745548397302628,0.1,0.5219085454940796,0.014979662653058768,0.0025341856118757276,4.3344011306762695,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,200,90.5760063440539,22.131943035125733,18.015015602111816,0.0,0.0,0.03473750529810786,0.03936600312590599,0.0,0.37444360479712485,0.017519325111061336,0.0027596373693086207,5.442480564117432,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,250,112.56931359204464,19.089057540893556,14.175670623779297,0.0,0.0,0.09037731653079391,0.1215468980371952,0.0,0.37477152310311795,0.017913110554218292,0.0019995836679299827,5.012463092803955,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,300,134.6575723249698,11.997498106956481,7.043351411819458,0.0,0.0,0.29896499328315257,0.3988948315382004,0.0,0.31420539431273936,0.013299866206943988,0.0013937652678578162,4.919328212738037,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,350,156.7615956600057,10.78770296573639,10.548609733581543,0.0,0.0,0.2112999726086855,0.20038674026727676,0.0,0.4162997525185347,0.01115856128744781,0.001880253122362774,4.728432655334473,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,400,178.67815065803006,8.119261193275452,8.7225980758667,0.0,0.15,0.35673303455114364,0.3184863030910492,0.15,0.7194069772958755,0.010113472351804376,0.003533993032760918,4.807018756866455,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,450,200.94746390904766,15.50200252532959,12.702181339263916,0.0,0.0,0.09556668698787689,0.131733275949955,0.0,0.3977242536842823,0.016557779628783464,0.0011757916276110337,4.748945236206055,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,500,223.1011988540413,4.696419042348862,3.409635901451111,0.05,0.65,0.572572797164321,0.6517064273357391,0.8,0.31753053665161135,0.0052647520089522,0.0009176362233120017,3.7032999992370605,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,550,245.0970661570318,17.57045249938965,16.953630447387695,0.0,0.0,0.0560320776887238,0.058620793744921684,0.0,0.3664842754602432,0.01350084701552987,0.0010886082891374826,4.640726566314697,0.0,3456,minimal_fpn,3848775,3848775
minimal_fpn,2,600,267.07128162903246,18.572880268096924,18.37050151824951,0.0,0.0,0.0270720707019791,0.023459368385374546,0.0,0.379778790473938,0.01100405426695943,0.0014147834270261228,3.720961093902588,0.0,3456,minimal_fpn,3848775,3848775
