variant,epoch,train_center_l1,mean_center_error_px,median_center_error_px,p_error_lt_2px,p_error_lt_4px,p_error_lt_8px,center_l1_loss,samples,is_best,epochs_without_improvement,elapsed_seconds
full_rdq,17,0.020632354862755165,37.33175277709961,34.282588958740234,0.016867469996213913,0.028915662318468094,0.06265060603618622,0.06510887246534049,415,0,5,990.4186089329887
full_rdq,18,0.018842176999896765,34.20435333251953,32.87300491333008,0.0,0.0,0.021686747670173645,0.05987036966954369,415,0,6,1047.41310406907
full_rdq,19,0.019805396237643436,38.7750129699707,35.679351806640625,0.0,0.0072289155796170235,0.024096384644508362,0.06579584965863859,415,0,7,1104.3550395000493
full_rdq,20,0.018102060945238918,39.50142288208008,39.73542404174805,0.0072289155796170235,0.016867469996213913,0.04578313231468201,0.06743070641195918,415,0,8,1160.4931204000022
full_rdq,21,0.01780165954551194,39.132049560546875,37.33698654174805,0.0,0.0,0.004819277208298445,0.06926778543246798,415,0,9,1218.5341994849732
full_rdq,22,0.017779504996724427,34.57646179199219,34.331241607666016,0.0072289155796170235,0.03614457696676254,0.09638553857803345,0.06055711659950664,415,0,10,1276.5488363610348
full_rdq,23,0.017574813740793616,34.770389556884766,30.130884170532227,0.0,0.0024096386041492224,0.033734939992427826,0.06144061716924231,415,0,11,1334.472680817009
full_rdq,24,0.01759272036724724,41.55277633666992,39.58817672729492,0.0,0.0072289155796170235,0.03855421766638756,0.07209832863994392,415,0,12,1392.9144750220003
full_rdq,25,0.0187718653032789,36.08669662475586,34.61236572265625,0.0024096386041492224,0.012048192322254181,0.03855421766638756,0.061068937110613626,415,0,13,1451.5066484840354
full_rdq,26,0.0186665533692576,37.91072082519531,33.245018005371094,0.0024096386041492224,0.004819277208298445,0.053012046962976456,0.06444223148815603,415,0,14,1509.4371862320695
full_rdq,27,0.01691808561736252,38.301734924316406,34.68203353881836,0.0,0.00963855441659689,0.03614457696676254,0.06611479051321385,415,0,15,1567.6741022070637
no_radar_skip,1,0.08654656779253855,46.36211395263672,49.17058181762695,0.0024096386041492224,0.004819277208298445,0.12530121207237244,0.07998419581766589,415,1,0,60.15151471097488
no_radar_skip,2,0.06813439459074289,43.379295349121094,39.29350662231445,0.0,0.0024096386041492224,0.028915662318468094,0.07797417735838029,415,1,0,120.6392769869417
no_radar_skip,3,0.06389561254763976,44.35157775878906,42.8659553527832,0.0,0.0,0.004819277208298445,0.07752544872732048,415,0,1,180.50529587001074
no_radar_skip,4,0.059348784387111664,39.48501205444336,31.44280433654785,0.0024096386041492224,0.004819277208298445,0.040963854640722275,0.06949387598468597,415,1,0,241.12812613602728
no_radar_skip,5,0.05490959924645722,39.447200775146484,38.81590270996094,0.0,0.0,0.026506023481488228,0.0687342778566372,415,1,0,301.1759232849581
no_radar_skip,6,0.04156674770638347,33.144287109375,31.095787048339844,0.012048192322254181,0.026506023481488228,0.0891566276550293,0.0580367587237473,415,1,0,360.8079853740055
no_radar_skip,7,0.038346593879396096,37.99528121948242,34.896141052246094,0.0,0.0,0.014457831159234047,0.06065017044185156,415,0,1,420.7199786709389
no_radar_skip,8,0.03341753481072374,35.564537048339844,34.16294479370117,0.026506023481488228,0.033734939992427826,0.09638553857803345,0.06166637222091836,415,0,2,480.1759079239564
no_radar_skip,9,0.029101584455929697,35.89509201049805,33.10782241821289,0.0,0.0,0.0024096386041492224,0.06348919028259185,415,0,3,539.4899063439807
no_radar_skip,10,0.029653414370841347,37.244529724121094,34.392086029052734,0.0,0.0072289155796170235,0.033734939992427826,0.0651681980275246,415,0,4,599.4385540200165
no_radar_skip,11,0.030442264425801113,33.44239044189453,33.21500015258789,0.00963855441659689,0.028915662318468094,0.0602409653365612,0.05705471523554928,415,0,5,658.9017980099889
